"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1015.8","1019.4","22.8","20.5","87","2.6","90","5.5","80","0.0","0.0","--","0.00","--","0","--"
"02","1015.3","1018.9","22.9","20.4","86","2.1","100","6.0","90","0.0","0.0","--","0.00","--","0","--"
"03","1015.0","1018.6","22.9","20.6","87","1.8","90","4.7","120","0.0","0.0","--","0.00","--","0","--"
"04","1015.0","1018.6","23.1","20.3","84","1.6","110","4.6","100","0.0","0.0","--","0.00","--","0","--"
"05","1014.9","1018.5","23.1","20.3","84","2.6","100","6.0","80","0.0","0.0","--","0.00","--","0","--"
"06","1015.2","1018.8","22.9","20.4","86","2.2","110","5.9","80","0.0","0.0","0.0","0.00","--","0","--"
"07","1015.7","1019.3","23.1","20.5","85","2.0","110","5.8","90","0.0","0.0","0.0","0.10","--","0","--"
"08","1016.3","1019.8","24.9","20.2","75","2.9","110","6.3","120","0.0","0.0","1.0","0.97","50.0","1","4.0"
"09","1016.4","1019.9","25.9","20.5","72","2.5","100","7.7","90","0.0","0.0","0.9","1.46","60.0","2","4.0"
"10","1016.0","1019.5","26.1","20.2","70","4.0","100","9.5","130","0.0","0.0","0.8","1.63","--","4","--"
"11","1015.1","1018.6","27.2","21.0","69","3.9","100","9.8","80","0.0","0.0","0.8","2.08","60.0","6","7.0"
"12","1014.3","1017.8","27.7","20.8","66","4.6","100","11.3","110","0.0","0.0","0.7","2.11","--","6","--"
"13","1013.4","1016.9","28.3","20.6","63","3.5","110","9.5","110","0.0","0.0","0.6","2.01","--","6","--"
"14","1013.2","1016.7","27.9","19.7","61","5.0","110","10.6","120","0.0","0.0","0.5","1.66","60.0","4","6.0"
"15","1013.2","1016.7","27.1","20.7","68","4.0","100","12.5","100","0.0","0.0","0.4","1.36","--","3","--"
"16","1013.2","1016.7","26.4","20.3","69","5.0","90","11.4","90","0.0","0.0","0.5","0.69","--","1","--"
"17","1013.0","1016.5","26.0","20.4","71","4.5","90","12.2","100","0.0","0.0","0.8","0.35","35.0","0","6.0"
"18","1013.4","1016.9","25.6","20.4","73","4.1","90","11.7","90","0.0","0.0","0.0","0.01","--","0","--"
"19","1013.8","1017.3","25.3","20.6","75","3.4","100","8.5","90","0.0","0.0","0.0","0.00","--","0","--"
"20","1014.2","1017.7","25.2","20.5","75","3.8","110","9.0","90","0.0","0.0","--","0.00","--","0","--"
"21","1014.0","1017.5","25.0","20.1","74","2.2","100","9.1","90","0.0","0.0","--","0.00","--","0","--"
"22","1013.6","1017.1","24.5","20.0","76","2.8","100","8.2","80","0.0","0.0","--","0.00","--","0","--"
"23","1013.0","1016.5","24.4","20.1","77","3.6","90","8.1","90","0.0","0.0","--","0.00","--","0","--"
"24","1012.7","1016.2","24.1","20.6","81","3.6","90","8.4","90","0.0","0.0","--","0.00","--","0","--"
